corl0021,Terminal bullethead parrotfish. (Chlorurus sordidus),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0021.htm,http://www.photolib.noaa.gov/bigs/corl0021.jpg,http://www.photolib.noaa.gov/700s/corl0021.jpg
corl0022,Juvenile yellowtail coris (Coris gaimard),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0022.htm,http://www.photolib.noaa.gov/bigs/corl0022.jpg,http://www.photolib.noaa.gov/700s/corl0022.jpg
corl0023,Multiband butterflyfish. (Chaetodon multicinctus),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0023.htm,http://www.photolib.noaa.gov/bigs/corl0023.jpg,http://www.photolib.noaa.gov/700s/corl0023.jpg
corl0024,Yellow tang. (Zebrasoma flavescens),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0024.htm,http://www.photolib.noaa.gov/bigs/corl0024.jpg,http://www.photolib.noaa.gov/700s/corl0024.jpg
corl0025,Yellow tang. (Zebrasoma flavescens),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0025.htm,http://www.photolib.noaa.gov/bigs/corl0025.jpg,http://www.photolib.noaa.gov/700s/corl0025.jpg
corl0026,Leaf scorpionfish (Taenianotus triacanthus),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0026.htm,http://www.photolib.noaa.gov/bigs/corl0026.jpg,http://www.photolib.noaa.gov/700s/corl0026.jpg
corl0027,Leaf scorpionfish (Taenianotus triacanthus),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0027.htm,http://www.photolib.noaa.gov/bigs/corl0027.jpg,http://www.photolib.noaa.gov/700s/corl0027.jpg
corl0028,Juvenile yellow tang. (Zebrasoma flavescens),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0028.htm,http://www.photolib.noaa.gov/bigs/corl0028.jpg,http://www.photolib.noaa.gov/700s/corl0028.jpg
corl0029,Midget chromis (Chromis acares),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0029.htm,http://www.photolib.noaa.gov/bigs/corl0029.jpg,http://www.photolib.noaa.gov/700s/corl0029.jpg
corl0030,Ornamental wrasse. (Halichoeres ornatissimus),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0030.htm,http://www.photolib.noaa.gov/bigs/corl0030.jpg,http://www.photolib.noaa.gov/700s/corl0030.jpg
corl0031,Fourspot butterfly fish. (Chaetodon quadrimaculatus),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0031.htm,http://www.photolib.noaa.gov/bigs/corl0031.jpg,http://www.photolib.noaa.gov/700s/corl0031.jpg
corl0032,Tinkers butterflyfish.(Chaetodon tinkeri),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0032.htm,http://www.photolib.noaa.gov/bigs/corl0032.jpg,http://www.photolib.noaa.gov/700s/corl0032.jpg
corl0033,Juvenile Hawaiian bristletooth (Ctenochaetus hawaiiensis),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0033.htm,http://www.photolib.noaa.gov/bigs/corl0033.jpg,http://www.photolib.noaa.gov/700s/corl0033.jpg
corl0034,Blacklip butterflyfish. (Chaetodon kleinii),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0034.htm,http://www.photolib.noaa.gov/bigs/corl0034.jpg,http://www.photolib.noaa.gov/700s/corl0034.jpg
corl0035,Pennant butterflyfish (Heniochus diphreutes),Kevin Lino NOAA/NMFS/PIFSC/ESD,http://www.photolib.noaa.gov/htmls/corl0035.htm,http://www.photolib.noaa.gov/bigs/corl0035.jpg,http://www.photolib.noaa.gov/700s/corl0035.jpg
